recording_id,scientific_name,genus,species,subspecies,english_name,call_type,sex,life_stage,duration_seconds,date,time,country,location,latitude,longitude,altitude,quality,recordist,license,remarks,background_species,status
XC101288,,,,,,,,,,,,,,,,,,,,,,success
XC101292,,,,,,,,,,,,,,,,,,,,,,success
XC101293,,,,,,,,,,,,,,,,,,,,,,success
XC101580,,,,,,,,,,,,,,,,,,,,,,success
XC101581,,,,,,,,,,,,,,,,,,,,,,success
XC101591,,,,,,,,,,,,,,,,,,,,,,success
XC101593,,,,,,,,,,,,,,,,,,,,,,success
XC101614,,,,,,,,,,,,,,,,,,,,,,success
XC102972,,,,,,,,,,,,,,,,,,,,,,success
XC104520,,,,,,,,,,,,,,,,,,,,,,success
XC104521,,,,,,,,,,,,,,,,,,,,,,success
XC109162,,,,,,,,,,,,,,,,,,,,,,success
XC109190,,,,,,,,,,,,,,,,,,,,,,success
XC109191,,,,,,,,,,,,,,,,,,,,,,success
XC109192,,,,,,,,,,,,,,,,,,,,,,success
XC109299,,,,,,,,,,,,,,,,,,,,,,success
XC109300,,,,,,,,,,,,,,,,,,,,,,success
XC109301,,,,,,,,,,,,,,,,,,,,,,success
XC109305,,,,,,,,,,,,,,,,,,,,,,success
XC109306,,,,,,,,,,,,,,,,,,,,,,success
XC109314,,,,,,,,,,,,,,,,,,,,,,success
XC109601,,,,,,,,,,,,,,,,,,,,,,success
XC109602,,,,,,,,,,,,,,,,,,,,,,success
XC109603,,,,,,,,,,,,,,,,,,,,,,success
XC109606,,,,,,,,,,,,,,,,,,,,,,success
XC109651,,,,,,,,,,,,,,,,,,,,,,success
XC109666,,,,,,,,,,,,,,,,,,,,,,success
XC109668,,,,,,,,,,,,,,,,,,,,,,success
XC109768,,,,,,,,,,,,,,,,,,,,,,success
XC109852,,,,,,,,,,,,,,,,,,,,,,success
XC109920,,,,,,,,,,,,,,,,,,,,,,success
XC109921,,,,,,,,,,,,,,,,,,,,,,success
XC109922,,,,,,,,,,,,,,,,,,,,,,success
XC109923,,,,,,,,,,,,,,,,,,,,,,success
XC109946,,,,,,,,,,,,,,,,,,,,,,success
XC109947,,,,,,,,,,,,,,,,,,,,,,success
XC109948,,,,,,,,,,,,,,,,,,,,,,success
XC109949,,,,,,,,,,,,,,,,,,,,,,success
XC109950,,,,,,,,,,,,,,,,,,,,,,success
XC109951,,,,,,,,,,,,,,,,,,,,,,success
XC110078,,,,,,,,,,,,,,,,,,,,,,success
XC110079,,,,,,,,,,,,,,,,,,,,,,success
XC110080,,,,,,,,,,,,,,,,,,,,,,success
XC110081,,,,,,,,,,,,,,,,,,,,,,success
XC110813,,,,,,,,,,,,,,,,,,,,,,success
XC111040,,,,,,,,,,,,,,,,,,,,,,success
XC111041,,,,,,,,,,,,,,,,,,,,,,success
XC111042,,,,,,,,,,,,,,,,,,,,,,success
XC111043,,,,,,,,,,,,,,,,,,,,,,success
XC111138,,,,,,,,,,,,,,,,,,,,,,success
XC111139,,,,,,,,,,,,,,,,,,,,,,success
XC112499,,,,,,,,,,,,,,,,,,,,,,success
XC112501,,,,,,,,,,,,,,,,,,,,,,success
XC112502,,,,,,,,,,,,,,,,,,,,,,success
XC112579,,,,,,,,,,,,,,,,,,,,,,success
XC112598,,,,,,,,,,,,,,,,,,,,,,success
XC112829,,,,,,,,,,,,,,,,,,,,,,success
XC113485,,,,,,,,,,,,,,,,,,,,,,success
XC113486,,,,,,,,,,,,,,,,,,,,,,success
XC113721,,,,,,,,,,,,,,,,,,,,,,success
XC113723,,,,,,,,,,,,,,,,,,,,,,success
XC113724,,,,,,,,,,,,,,,,,,,,,,success
XC113808,,,,,,,,,,,,,,,,,,,,,,success
XC113814,,,,,,,,,,,,,,,,,,,,,,success
XC113820,,,,,,,,,,,,,,,,,,,,,,success
XC113821,,,,,,,,,,,,,,,,,,,,,,success
XC113827,,,,,,,,,,,,,,,,,,,,,,success
XC114061,,,,,,,,,,,,,,,,,,,,,,success
XC114073,,,,,,,,,,,,,,,,,,,,,,success
XC114081,,,,,,,,,,,,,,,,,,,,,,success
XC114085,,,,,,,,,,,,,,,,,,,,,,success
XC114086,,,,,,,,,,,,,,,,,,,,,,success
XC114087,,,,,,,,,,,,,,,,,,,,,,success
XC114342,,,,,,,,,,,,,,,,,,,,,,success
XC114550,,,,,,,,,,,,,,,,,,,,,,success
XC114551,,,,,,,,,,,,,,,,,,,,,,success
XC114552,,,,,,,,,,,,,,,,,,,,,,success
XC114554,,,,,,,,,,,,,,,,,,,,,,success
XC114555,,,,,,,,,,,,,,,,,,,,,,success
XC114556,,,,,,,,,,,,,,,,,,,,,,success
XC114557,,,,,,,,,,,,,,,,,,,,,,success
XC114558,,,,,,,,,,,,,,,,,,,,,,success
XC114559,,,,,,,,,,,,,,,,,,,,,,success
XC114560,,,,,,,,,,,,,,,,,,,,,,success
XC114561,,,,,,,,,,,,,,,,,,,,,,success
XC11476,,,,,,,,,,,,,,,,,,,,,,success
XC114930,,,,,,,,,,,,,,,,,,,,,,success
XC115430,,,,,,,,,,,,,,,,,,,,,,success
XC115587,,,,,,,,,,,,,,,,,,,,,,success
XC115594,,,,,,,,,,,,,,,,,,,,,,success
XC115938,,,,,,,,,,,,,,,,,,,,,,success
XC115939,,,,,,,,,,,,,,,,,,,,,,success
XC115940,,,,,,,,,,,,,,,,,,,,,,success
XC116054,,,,,,,,,,,,,,,,,,,,,,success
XC116055,,,,,,,,,,,,,,,,,,,,,,success
XC116056,,,,,,,,,,,,,,,,,,,,,,success
XC116372,,,,,,,,,,,,,,,,,,,,,,success
XC116373,,,,,,,,,,,,,,,,,,,,,,success
XC116374,,,,,,,,,,,,,,,,,,,,,,success
XC11722,,,,,,,,,,,,,,,,,,,,,,success
XC11847,,,,,,,,,,,,,,,,,,,,,,success
XC118749,,,,,,,,,,,,,,,,,,,,,,success
XC119593,,,,,,,,,,,,,,,,,,,,,,success
XC120285,,,,,,,,,,,,,,,,,,,,,,success
XC120809,,,,,,,,,,,,,,,,,,,,,,success
XC120842,,,,,,,,,,,,,,,,,,,,,,success
XC120843,,,,,,,,,,,,,,,,,,,,,,success
XC120844,,,,,,,,,,,,,,,,,,,,,,success
XC120855,,,,,,,,,,,,,,,,,,,,,,success
XC120868,,,,,,,,,,,,,,,,,,,,,,success
XC120878,,,,,,,,,,,,,,,,,,,,,,success
XC121042,,,,,,,,,,,,,,,,,,,,,,success
XC121043,,,,,,,,,,,,,,,,,,,,,,success
XC121044,,,,,,,,,,,,,,,,,,,,,,success
XC121045,,,,,,,,,,,,,,,,,,,,,,success
XC121046,,,,,,,,,,,,,,,,,,,,,,success
XC121068,,,,,,,,,,,,,,,,,,,,,,success
XC121396,,,,,,,,,,,,,,,,,,,,,,success
XC121435,,,,,,,,,,,,,,,,,,,,,,success
XC122259,,,,,,,,,,,,,,,,,,,,,,success
XC122442,,,,,,,,,,,,,,,,,,,,,,success
XC122453,,,,,,,,,,,,,,,,,,,,,,success
XC122455,,,,,,,,,,,,,,,,,,,,,,success
XC122640,,,,,,,,,,,,,,,,,,,,,,success
XC122641,,,,,,,,,,,,,,,,,,,,,,success
XC122806,,,,,,,,,,,,,,,,,,,,,,success
XC122807,,,,,,,,,,,,,,,,,,,,,,success
XC122809,,,,,,,,,,,,,,,,,,,,,,success
XC122810,,,,,,,,,,,,,,,,,,,,,,success
XC122811,,,,,,,,,,,,,,,,,,,,,,success
XC122812,,,,,,,,,,,,,,,,,,,,,,success
XC122813,,,,,,,,,,,,,,,,,,,,,,success
XC122814,,,,,,,,,,,,,,,,,,,,,,success
XC122815,,,,,,,,,,,,,,,,,,,,,,success
XC122816,,,,,,,,,,,,,,,,,,,,,,success
XC122817,,,,,,,,,,,,,,,,,,,,,,success
XC122818,,,,,,,,,,,,,,,,,,,,,,success
XC122819,,,,,,,,,,,,,,,,,,,,,,success
XC122820,,,,,,,,,,,,,,,,,,,,,,success
XC122821,,,,,,,,,,,,,,,,,,,,,,success
XC122822,,,,,,,,,,,,,,,,,,,,,,success
XC122824,,,,,,,,,,,,,,,,,,,,,,success
XC122825,,,,,,,,,,,,,,,,,,,,,,success
XC122826,,,,,,,,,,,,,,,,,,,,,,success
XC122892,,,,,,,,,,,,,,,,,,,,,,success
XC122895,,,,,,,,,,,,,,,,,,,,,,success
XC122896,,,,,,,,,,,,,,,,,,,,,,success
XC122898,,,,,,,,,,,,,,,,,,,,,,success
XC122900,,,,,,,,,,,,,,,,,,,,,,success
XC122904,,,,,,,,,,,,,,,,,,,,,,success
XC122908,,,,,,,,,,,,,,,,,,,,,,success
XC122909,,,,,,,,,,,,,,,,,,,,,,success
XC122910,,,,,,,,,,,,,,,,,,,,,,success
XC122911,,,,,,,,,,,,,,,,,,,,,,success
XC122912,,,,,,,,,,,,,,,,,,,,,,success
XC122913,,,,,,,,,,,,,,,,,,,,,,success
XC122914,,,,,,,,,,,,,,,,,,,,,,success
XC122915,,,,,,,,,,,,,,,,,,,,,,success
XC122916,,,,,,,,,,,,,,,,,,,,,,success
XC122918,,,,,,,,,,,,,,,,,,,,,,success
XC122922,,,,,,,,,,,,,,,,,,,,,,success
XC122924,,,,,,,,,,,,,,,,,,,,,,success
XC123156,,,,,,,,,,,,,,,,,,,,,,success
XC123302,,,,,,,,,,,,,,,,,,,,,,success
XC123306,,,,,,,,,,,,,,,,,,,,,,success
XC123343,,,,,,,,,,,,,,,,,,,,,,success
XC123363,,,,,,,,,,,,,,,,,,,,,,success
XC123364,,,,,,,,,,,,,,,,,,,,,,success
XC123370,,,,,,,,,,,,,,,,,,,,,,success
XC123405,,,,,,,,,,,,,,,,,,,,,,success
XC123506,,,,,,,,,,,,,,,,,,,,,,success
XC124067,,,,,,,,,,,,,,,,,,,,,,success
XC124268,,,,,,,,,,,,,,,,,,,,,,success
XC124312,,,,,,,,,,,,,,,,,,,,,,success
XC124431,,,,,,,,,,,,,,,,,,,,,,success
XC124433,,,,,,,,,,,,,,,,,,,,,,success
XC124438,,,,,,,,,,,,,,,,,,,,,,success
XC124439,,,,,,,,,,,,,,,,,,,,,,success
XC124441,,,,,,,,,,,,,,,,,,,,,,success
XC124484,,,,,,,,,,,,,,,,,,,,,,success
XC124590,,,,,,,,,,,,,,,,,,,,,,success
XC124591,,,,,,,,,,,,,,,,,,,,,,success
XC124593,,,,,,,,,,,,,,,,,,,,,,success
XC124595,,,,,,,,,,,,,,,,,,,,,,success
XC124992,,,,,,,,,,,,,,,,,,,,,,success
XC125090,,,,,,,,,,,,,,,,,,,,,,success
XC125091,,,,,,,,,,,,,,,,,,,,,,success
XC125093,,,,,,,,,,,,,,,,,,,,,,success
XC125094,,,,,,,,,,,,,,,,,,,,,,success
XC125095,,,,,,,,,,,,,,,,,,,,,,success
XC125096,,,,,,,,,,,,,,,,,,,,,,success
XC125168,,,,,,,,,,,,,,,,,,,,,,success
XC125169,,,,,,,,,,,,,,,,,,,,,,success
XC125171,,,,,,,,,,,,,,,,,,,,,,success
XC125173,,,,,,,,,,,,,,,,,,,,,,success
XC125176,,,,,,,,,,,,,,,,,,,,,,success
XC125178,,,,,,,,,,,,,,,,,,,,,,success
XC125207,,,,,,,,,,,,,,,,,,,,,,success
XC125512,,,,,,,,,,,,,,,,,,,,,,success
XC125540,,,,,,,,,,,,,,,,,,,,,,success
XC125542,,,,,,,,,,,,,,,,,,,,,,success
XC125544,,,,,,,,,,,,,,,,,,,,,,success
XC125546,,,,,,,,,,,,,,,,,,,,,,success
XC125547,,,,,,,,,,,,,,,,,,,,,,success
XC125549,,,,,,,,,,,,,,,,,,,,,,success
XC125550,,,,,,,,,,,,,,,,,,,,,,success
XC125553,,,,,,,,,,,,,,,,,,,,,,success
XC125555,,,,,,,,,,,,,,,,,,,,,,success
XC125556,,,,,,,,,,,,,,,,,,,,,,success
XC125557,,,,,,,,,,,,,,,,,,,,,,success
XC125558,,,,,,,,,,,,,,,,,,,,,,success
XC125559,,,,,,,,,,,,,,,,,,,,,,success
XC125560,,,,,,,,,,,,,,,,,,,,,,success
XC125561,,,,,,,,,,,,,,,,,,,,,,success
XC125564,,,,,,,,,,,,,,,,,,,,,,success
XC125567,,,,,,,,,,,,,,,,,,,,,,success
XC125569,,,,,,,,,,,,,,,,,,,,,,success
XC125571,,,,,,,,,,,,,,,,,,,,,,success
XC125573,,,,,,,,,,,,,,,,,,,,,,success
XC125576,,,,,,,,,,,,,,,,,,,,,,success
XC125579,,,,,,,,,,,,,,,,,,,,,,success
XC125581,,,,,,,,,,,,,,,,,,,,,,success
XC125727,,,,,,,,,,,,,,,,,,,,,,success
XC125729,,,,,,,,,,,,,,,,,,,,,,success
XC125844,,,,,,,,,,,,,,,,,,,,,,success
XC126022,,,,,,,,,,,,,,,,,,,,,,success
XC127371,,,,,,,,,,,,,,,,,,,,,,success
XC127418,,,,,,,,,,,,,,,,,,,,,,success
XC127600,,,,,,,,,,,,,,,,,,,,,,success
XC127999,,,,,,,,,,,,,,,,,,,,,,success
XC128001,,,,,,,,,,,,,,,,,,,,,,success
XC128002,,,,,,,,,,,,,,,,,,,,,,success
XC128099,,,,,,,,,,,,,,,,,,,,,,success
XC128249,,,,,,,,,,,,,,,,,,,,,,success
XC128490,,,,,,,,,,,,,,,,,,,,,,success
XC128705,,,,,,,,,,,,,,,,,,,,,,success
XC128942,,,,,,,,,,,,,,,,,,,,,,success
XC129225,,,,,,,,,,,,,,,,,,,,,,success
XC129313,,,,,,,,,,,,,,,,,,,,,,success
XC129386,,,,,,,,,,,,,,,,,,,,,,success
XC129387,,,,,,,,,,,,,,,,,,,,,,success
XC129650,,,,,,,,,,,,,,,,,,,,,,success
XC129798,,,,,,,,,,,,,,,,,,,,,,success
XC130058,,,,,,,,,,,,,,,,,,,,,,success
XC130170,,,,,,,,,,,,,,,,,,,,,,success
XC130499,,,,,,,,,,,,,,,,,,,,,,success
XC130500,,,,,,,,,,,,,,,,,,,,,,success
XC130507,,,,,,,,,,,,,,,,,,,,,,success
XC130508,,,,,,,,,,,,,,,,,,,,,,success
XC130510,,,,,,,,,,,,,,,,,,,,,,success
XC130511,,,,,,,,,,,,,,,,,,,,,,success
XC130512,,,,,,,,,,,,,,,,,,,,,,success
XC130513,,,,,,,,,,,,,,,,,,,,,,success
XC130525,,,,,,,,,,,,,,,,,,,,,,success
XC131093,,,,,,,,,,,,,,,,,,,,,,success
XC131442,,,,,,,,,,,,,,,,,,,,,,success
XC131445,,,,,,,,,,,,,,,,,,,,,,success
XC131447,,,,,,,,,,,,,,,,,,,,,,success
XC131452,,,,,,,,,,,,,,,,,,,,,,success
XC131462,,,,,,,,,,,,,,,,,,,,,,success
XC131549,,,,,,,,,,,,,,,,,,,,,,success
XC131559,,,,,,,,,,,,,,,,,,,,,,success
XC131566,,,,,,,,,,,,,,,,,,,,,,success
XC131567,,,,,,,,,,,,,,,,,,,,,,success
XC131637,,,,,,,,,,,,,,,,,,,,,,success
XC131879,,,,,,,,,,,,,,,,,,,,,,success
XC131881,,,,,,,,,,,,,,,,,,,,,,success
XC131882,,,,,,,,,,,,,,,,,,,,,,success
XC131925,,,,,,,,,,,,,,,,,,,,,,success
XC131951,,,,,,,,,,,,,,,,,,,,,,success
XC131952,,,,,,,,,,,,,,,,,,,,,,success
XC131971,,,,,,,,,,,,,,,,,,,,,,success
XC132145,,,,,,,,,,,,,,,,,,,,,,success
XC132216,,,,,,,,,,,,,,,,,,,,,,success
XC132217,,,,,,,,,,,,,,,,,,,,,,success
XC132219,,,,,,,,,,,,,,,,,,,,,,success
XC132220,,,,,,,,,,,,,,,,,,,,,,success
XC132223,,,,,,,,,,,,,,,,,,,,,,success
XC132224,,,,,,,,,,,,,,,,,,,,,,success
XC132226,,,,,,,,,,,,,,,,,,,,,,success
XC132229,,,,,,,,,,,,,,,,,,,,,,success
XC132236,,,,,,,,,,,,,,,,,,,,,,success
XC132237,,,,,,,,,,,,,,,,,,,,,,success
XC132239,,,,,,,,,,,,,,,,,,,,,,success
XC132241,,,,,,,,,,,,,,,,,,,,,,success
XC132243,,,,,,,,,,,,,,,,,,,,,,success
XC132246,,,,,,,,,,,,,,,,,,,,,,success
XC132248,,,,,,,,,,,,,,,,,,,,,,success
XC132250,,,,,,,,,,,,,,,,,,,,,,success
XC132251,,,,,,,,,,,,,,,,,,,,,,success
XC132254,,,,,,,,,,,,,,,,,,,,,,success
XC132255,,,,,,,,,,,,,,,,,,,,,,success
XC132256,,,,,,,,,,,,,,,,,,,,,,success
XC132257,,,,,,,,,,,,,,,,,,,,,,success
XC132258,,,,,,,,,,,,,,,,,,,,,,success
XC132259,,,,,,,,,,,,,,,,,,,,,,success
XC132277,,,,,,,,,,,,,,,,,,,,,,success
XC132278,,,,,,,,,,,,,,,,,,,,,,success
XC132280,,,,,,,,,,,,,,,,,,,,,,success
XC132281,,,,,,,,,,,,,,,,,,,,,,success
XC132282,,,,,,,,,,,,,,,,,,,,,,success
XC132283,,,,,,,,,,,,,,,,,,,,,,success
XC132284,,,,,,,,,,,,,,,,,,,,,,success
XC132285,,,,,,,,,,,,,,,,,,,,,,success
XC132286,,,,,,,,,,,,,,,,,,,,,,success
XC132287,,,,,,,,,,,,,,,,,,,,,,success
XC132288,,,,,,,,,,,,,,,,,,,,,,success
XC132319,,,,,,,,,,,,,,,,,,,,,,success
XC132320,,,,,,,,,,,,,,,,,,,,,,success
XC132321,,,,,,,,,,,,,,,,,,,,,,success
XC132322,,,,,,,,,,,,,,,,,,,,,,success
XC132323,,,,,,,,,,,,,,,,,,,,,,success
XC132324,,,,,,,,,,,,,,,,,,,,,,success
XC132325,,,,,,,,,,,,,,,,,,,,,,success
XC132328,,,,,,,,,,,,,,,,,,,,,,success
XC132331,,,,,,,,,,,,,,,,,,,,,,success
XC132333,,,,,,,,,,,,,,,,,,,,,,success
